topic_id,label
0,"Topic 0: israel, israeli, state"
1,"Topic 1: hamas, civilian, israel"
2,"Topic 2: israel, people, war"
3,"Topic 3: israel, iran, netanyahu"
4,"Topic 4: people, gaza, child"
5,"Topic 5: genocide, gaza, israel"
6,"Topic 6: israel, hamas, people"
7,"Topic 7: israel, gaza, iran"
8,"Topic 8: palestinian, israel, state"
9,"Topic 9: people, nuclear, like"
10,"Topic 10: people, israel, jews"
11,"Topic 11: jews, land, arab"
12,"Topic 12: people, palestinians, jews"
13,"Topic 13: plan, trump, ukraine"
14,"Topic 14: palestine, death, gaza"
